syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
syntaxhighlighter_tests: script in file:/home/rahul/research/clone-unit-coverage/src/SyntaxHighlighter/tests/syntaxhighlighter_tests.html from (-1, -1) to (-1, -1) 1/1
