	total	test
ace	113669	1181
activable	1040	295
adapt	504	197
agility	6009	4236
akihabara	6690	1964
alice	9928	651
almond	4347	4153
aloha-editor	255434	15293
amplify	91903	1903
android-actionbarstylegenerator	9985	1180
ansuz	83803	15827
apiconnect	10403	1287
appengine-boilerplate	23465	1228
arttemplate	13403	11940
async	3305	1464
audiojs	708	67
babilu	1329	1259
backbone	19083	13398
backbone-aura	23993	4838
backbone-boilerplate	13899	3091
backbone-boilerplates	11394	1002
backbone-deep-model	3971	3816
backbone-express-mongoose-socketio	15923	2449
backbone-forms	11828	7997
backbone-fundamentals	34803	1070
backbone-nested	7234	5397
backbone-prototype	18428	14315
backbone_query	2473	2172
backbone-relational	11813	11813
backbone-tastypie	10154	10069
backbone-ui	14767	1314
biwascheme	14309	4890
blue-ridge	23801	1302
bookreader	4771	566
boomerang	7137	88
bootbox	6146	5741
bootstrap	23454	3889
bootstrap-datepicker	3608	2632
bootstrap-sass-scss-compass	20667	2590
bootstrap-tour	8976	1757
brackets	38830	16265
brequire	628	312
butter	20027	5604
calendar_date_select	5219	4476
calipso	14488	1297
canjs	33380	4388
chai	4138	1848
chaplin	11633	11622
chico	199945	173920
chrome-app-samples	79099	2231
chromeless	19546	9717
cloud9	117134	1124
codemirror2	24147	921
cohorts	610	252
collusion	9039	1253
common-node	13513	1082
context-blender	323	188
control	43563	1637
core	862345	16499
countly-server	97080	28706
coweb	13265	4793
crafty	11286	605
create	6112	1549
creditcard_js	3956	3915
cssom	3883	2806
cufon	3444	1711
curl	18587	15966
customselect	990	608
d3	46209	13241
data	24636	14487
datacouch	37762	3305
dataset	22531	4789
datatables	87838	34671
date_input	1023	635
datejs	45874	11273
derby	3611	21
dmv	140081	34715
do	404	125
documentjs	3920	157
domnode	23020	1976
donatello	2170	593
dreadnot	62166	24475
dustjs	49034	8883
dygraphs	38015	12348
easyxdm	6386	1384
ecssential	1808	20
emailjs	2462	998
emile	1081	960
emscripten	381961	15540
envisionjs	92119	3916
env-js	104967	22825
enyo	31676	1447
es5-shim	3905	3269
es6-shim	742	483
esprima	84317	76259
etherpad-lite	30391	979
eventemitter	1427	1306
eventproxy	2371	387
eventsource	8355	7809
extensible	24588	584
fathom	557	245
fbootstrapp	5637	1655
filtrr	3577	567
findandreplacedomtext	1607	1335
firebug	172099	82584
fixie	369	144
flexie	1618	26
flotr2	48488	6127
flux-slider	3451	52
